criterion_id	category	rule	quantitative_value	scope	rule_status	source_file	source_sha256	application
BRANCH_PRESERVATION	FORWARD_REVERSE	PreserveCC240forward/reverseQMbranches andMMtwostartdiagnostic;casegapnotuniversaltolerance	Observed0.22530kcal/molQMgap;notthreshold	SpecificCC240evidence	CASE_SPECIFIC_ADJUDICATION	evidence/TASK1_AND_PHASE3_SOL_HIGH_DISPOSITION.md	3469e8364d904ed2927105815adf51df758709e974eb19963304c1dda4376089	Independent scientific adjudication; never an outcome-selected fit target
PHASE2_COMPATIBILITY	WATER_ESP	Retain totalcharge/Oequivalence/ordering/primaryvsdiffusediagnostic;nonbondedACCEPTED_WITH_CAUTION;no automatic charge/LJrefit	CRITERION_NOT_PREVIOUSLY_FROZEN	Previouslyinspectedcompatibilityguards	FROZEN_QUALITATIVE_RULE	evidence/75_PFBS_PHASE2_PAIRWISE_DIAGNOSTIC_SCIENTIFIC_REVIEW.md	d0a034b3d19f8767a551309780ebec46991aa0ebb649ffb1aafe9bac9b971f80	Independent scientific adjudication; never an outcome-selected fit target
WHOLE_GEOMETRY_NUMERIC	GLOBAL_GEOMETRY	No quantitative acceptance criterion previously frozen in reviewed evidence;must be independently prespecified before fitting/adoption	CRITERION_NOT_PREVIOUSLY_FROZEN	Futurebroadprotocol;notinventedhere	CRITERION_NOT_PREVIOUSLY_FROZEN	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
HESSIAN_ERROR_NUMERIC	HESSIAN_FREQUENCY	No quantitative acceptance criterion previously frozen in reviewed evidence;must be independently prespecified before fitting/adoption	CRITERION_NOT_PREVIOUSLY_FROZEN	Futurebroadprotocol;notinventedhere	CRITERION_NOT_PREVIOUSLY_FROZEN	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
MODE_CHARACTER_NUMERIC	HESSIAN_FREQUENCY	No quantitative acceptance criterion previously frozen in reviewed evidence;must be independently prespecified before fitting/adoption	CRITERION_NOT_PREVIOUSLY_FROZEN	Futurebroadprotocol;notinventedhere	CRITERION_NOT_PREVIOUSLY_FROZEN	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
CONFORMER_ERROR_NUMERIC	CONFORMER_ORDERING	No quantitative acceptance criterion previously frozen in reviewed evidence;must be independently prespecified before fitting/adoption	CRITERION_NOT_PREVIOUSLY_FROZEN	Futurebroadprotocol;notinventedhere	CRITERION_NOT_PREVIOUSLY_FROZEN	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
CC_RMSE_MAE_NUMERIC	T_CC	No quantitative acceptance criterion previously frozen in reviewed evidence;must be independently prespecified before fitting/adoption	CRITERION_NOT_PREVIOUSLY_FROZEN	Futurebroadprotocol;notinventedhere	CRITERION_NOT_PREVIOUSLY_FROZEN	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
CS_RMSE_MAE_NUMERIC	T_CS	No quantitative acceptance criterion previously frozen in reviewed evidence;must be independently prespecified before fitting/adoption	CRITERION_NOT_PREVIOUSLY_FROZEN	Futurebroadprotocol;notinventedhere	CRITERION_NOT_PREVIOUSLY_FROZEN	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
JOINT_2D_NUMERIC	2D_CC_CS	No quantitative acceptance criterion previously frozen in reviewed evidence;must be independently prespecified before fitting/adoption	CRITERION_NOT_PREVIOUSLY_FROZEN	Futurebroadprotocol;notinventedhere	CRITERION_NOT_PREVIOUSLY_FROZEN	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
HELDOUT_NUMERIC	HELD_OUT_VALIDATION	No quantitative acceptance criterion previously frozen in reviewed evidence;must be independently prespecified before fitting/adoption	CRITERION_NOT_PREVIOUSLY_FROZEN	Futurebroadprotocol;notinventedhere	CRITERION_NOT_PREVIOUSLY_FROZEN	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
RANK_UNCERTAINTY_NUMERIC	IDENTIFIABILITY	No quantitative acceptance criterion previously frozen in reviewed evidence;must be independently prespecified before fitting/adoption	CRITERION_NOT_PREVIOUSLY_FROZEN	Futurebroadprotocol;notinventedhere	CRITERION_NOT_PREVIOUSLY_FROZEN	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
WEIGHTS_BOUNDS_REGULARIZATION	FIT_PROTOCOL	No quantitative acceptance criterion previously frozen in reviewed evidence;must be independently prespecified before fitting/adoption	CRITERION_NOT_PREVIOUSLY_FROZEN	Futurebroadprotocol;notinventedhere	CRITERION_NOT_PREVIOUSLY_FROZEN	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
PILOT_RMS_NOT_FROZEN	EXCLUDED_PILOT_VALUE	Oldplan26pilotRMS<=0.5kcal/mol was proposal/context,not adopted as frozen acceptance gate	0.5kcal/mol_EXCLUDED	Not usable as automatic rule	PROPOSED_OLD_PLAN_NOT_FROZEN	evidence/26_PFBS_MINIMUM_QM_PLAN.md	085e3cf6ae3aa00038345f2889109f04f6d5bc60274a12b2cc267fd2c3d199d9	Independent scientific adjudication; never an outcome-selected fit target
